zip_file,log_file,latitude,longitude,timestamp
All2024-06-21-10-58-52+0500.zip,aplog.06,41.32776681,69.34009985,06-21 10:50:10.457
All2024-06-21-10-58-52+0500.zip,aplog.06,41.32764643,69.33944137,06-21 10:50:20.456
All2024-06-21-10-58-52+0500.zip,aplog.07,41.32828583,69.34012933,06-21 10:48:10.483
All2024-06-21-10-58-52+0500.zip,aplog.07,41.32828574,69.34012944,06-21 10:48:20.483
All2024-06-21-10-58-52+0500.zip,aplog.07,41.32828541,69.34012967,06-21 10:48:30.459
All2024-06-21-10-58-52+0500.zip,aplog.07,41.32828588,69.34012944,06-21 10:48:40.478
All2024-06-21-10-58-52+0500.zip,aplog.07,41.32828607,69.34012947,06-21 10:48:50.471
All2024-06-21-10-58-52+0500.zip,aplog.07,41.3282541,69.34011253,06-21 10:49:00.478
All2024-06-21-10-58-52+0500.zip,aplog.07,41.32828575,69.34010162,06-21 10:49:10.461
All2024-06-21-10-58-52+0500.zip,aplog.07,41.32826103,69.3400858,06-21 10:49:20.464
All2024-06-21-10-58-52+0500.zip,aplog.08,41.32829388,69.34011369,06-21 10:46:30.477
All2024-06-21-10-58-52+0500.zip,aplog.08,41.32828716,69.34012624,06-21 10:46:40.454
All2024-06-21-10-58-52+0500.zip,aplog.08,41.32828664,69.34012644,06-21 10:46:50.453
All2024-06-21-10-58-52+0500.zip,aplog.08,41.32828661,69.34012622,06-21 10:47:00.484
All2024-06-21-10-58-52+0500.zip,aplog.08,41.32828698,69.34012657,06-21 10:47:10.483
All2024-06-21-10-58-52+0500.zip,aplog.08,41.32828707,69.34012669,06-21 10:47:20.479
All2024-06-21-10-58-52+0500.zip,aplog.08,41.32828697,69.34012696,06-21 10:47:30.480
All2024-06-21-10-58-52+0500.zip,aplog.08,41.32828548,69.34012854,06-21 10:47:40.461
All2024-06-21-10-58-52+0500.zip,aplog.08,41.32828502,69.34012935,06-21 10:47:50.457
All2024-06-21-10-58-52+0500.zip,aplog.08,41.32828555,69.34012907,06-21 10:48:00.469
All2024-06-21-10-58-52+0500.zip,aplog.09,41.32829403,69.34023629,06-21 10:04:23.458
All2024-06-21-10-58-52+0500.zip,aplog.09,41.32824233,69.34020202,06-21 10:04:33.471
All2024-06-21-10-58-52+0500.zip,aplog.09,41.32825236,69.34012051,06-21 10:04:43.455
All2024-06-21-10-58-52+0500.zip,aplog.10,41.32956168,69.34011892,06-21 10:03:13.454
All2024-06-21-10-58-52+0500.zip,aplog.10,41.32962498,69.34025964,06-21 10:03:23.462
All2024-06-21-10-58-52+0500.zip,aplog.10,41.32938879,69.34048104,06-21 10:03:33.495
All2024-06-21-10-58-52+0500.zip,aplog.10,41.32885858,69.34038229,06-21 10:03:43.472
All2024-06-21-10-58-52+0500.zip,aplog.10,41.32844139,69.34029649,06-21 10:03:53.463
All2024-06-21-10-58-52+0500.zip,aplog.10,41.32828479,69.34023972,06-21 10:04:03.484
All2024-06-21-10-58-52+0500.zip,aplog.10,41.32829376,69.34023789,06-21 10:04:13.461
All2024-06-21-10-58-52+0500.zip,aplog.11,41.32818045,69.34111886,06-21 10:01:23.486
All2024-06-21-10-58-52+0500.zip,aplog.11,41.32826751,69.34112585,06-21 10:01:33.483
All2024-06-21-10-58-52+0500.zip,aplog.11,41.32824662,69.34057237,06-21 10:01:43.482
All2024-06-21-10-58-52+0500.zip,aplog.11,41.32818869,69.34026347,06-21 10:01:53.488
All2024-06-21-10-58-52+0500.zip,aplog.11,41.32847485,69.34027478,06-21 10:02:03.479
All2024-06-21-10-58-52+0500.zip,aplog.11,41.32871837,69.34037525,06-21 10:02:13.491
All2024-06-21-10-58-52+0500.zip,aplog.11,41.32929233,69.34048695,06-21 10:02:23.486
All2024-06-21-10-58-52+0500.zip,aplog.11,41.32965422,69.34034954,06-21 10:02:33.460
All2024-06-21-10-58-52+0500.zip,aplog.11,41.32956429,69.34012444,06-21 10:02:43.480
All2024-06-21-10-58-52+0500.zip,aplog.11,41.32955858,69.34012223,06-21 10:02:53.483
All2024-06-21-10-58-52+0500.zip,aplog.11,41.32955751,69.34012289,06-21 10:03:03.482
All2024-06-21-10-58-52+0500.zip,aplog.12,41.33009003,69.34725643,06-21 09:59:53.486
All2024-06-21-10-58-52+0500.zip,aplog.12,41.32947468,69.34641904,06-21 10:00:03.491
All2024-06-21-10-58-52+0500.zip,aplog.12,41.32879945,69.34546113,06-21 10:00:13.468
All2024-06-21-10-58-52+0500.zip,aplog.12,41.32836291,69.34466029,06-21 10:00:23.466
All2024-06-21-10-58-52+0500.zip,aplog.12,41.32833824,69.34469166,06-21 10:00:33.477
All2024-06-21-10-58-52+0500.zip,aplog.12,41.32825027,69.34404395,06-21 10:00:43.489
All2024-06-21-10-58-52+0500.zip,aplog.12,41.32809826,69.34291311,06-21 10:00:53.458
All2024-06-21-10-58-52+0500.zip,aplog.12,41.3279889,69.34193133,06-21 10:01:03.467
All2024-06-21-10-58-52+0500.zip,aplog.12,41.32791276,69.3411976,06-21 10:01:13.457
All2024-06-21-10-58-52+0500.zip,aplog.13,41.33478516,69.35656137,06-21 09:58:13.480
All2024-06-21-10-58-52+0500.zip,aplog.13,41.33521116,69.35586047,06-21 09:58:23.486
All2024-06-21-10-58-52+0500.zip,aplog.13,41.33551681,69.35529636,06-21 09:58:33.479
All2024-06-21-10-58-52+0500.zip,aplog.13,41.33585046,69.35475257,06-21 09:58:43.461
All2024-06-21-10-58-52+0500.zip,aplog.13,41.33599984,69.35401827,06-21 09:58:53.487
All2024-06-21-10-58-52+0500.zip,aplog.13,41.33476828,69.35272829,06-21 09:59:03.480
All2024-06-21-10-58-52+0500.zip,aplog.13,41.33356737,69.35145972,06-21 09:59:13.464
All2024-06-21-10-58-52+0500.zip,aplog.13,41.33246807,69.3502848,06-21 09:59:23.493
All2024-06-21-10-58-52+0500.zip,aplog.13,41.33148028,69.34921674,06-21 09:59:33.479
All2024-06-21-10-58-52+0500.zip,aplog.13,41.33065013,69.3480729,06-21 09:59:43.462
All2024-06-21-10-58-52+0500.zip,aplog.14,41.33448582,69.36031011,06-21 09:56:43.461
All2024-06-21-10-58-52+0500.zip,aplog.14,41.33448294,69.36031419,06-21 09:56:53.479
All2024-06-21-10-58-52+0500.zip,aplog.14,41.33448208,69.36031498,06-21 09:57:03.478
All2024-06-21-10-58-52+0500.zip,aplog.14,41.33449741,69.36028822,06-21 09:57:13.479
All2024-06-21-10-58-52+0500.zip,aplog.14,41.33468772,69.35991434,06-21 09:57:23.488
All2024-06-21-10-58-52+0500.zip,aplog.14,41.33410172,69.35923057,06-21 09:57:33.487
All2024-06-21-10-58-52+0500.zip,aplog.14,41.33362039,69.35879618,06-21 09:57:43.482
All2024-06-21-10-58-52+0500.zip,aplog.14,41.33389247,69.35817383,06-21 09:57:53.488
All2024-06-21-10-58-52+0500.zip,aplog.14,41.3343271,69.35747309,06-21 09:58:03.485
All2024-06-21-10-58-52+0500.zip,aplog.15,41.33376749,69.36289779,06-21 09:55:33.483
All2024-06-21-10-58-52+0500.zip,aplog.15,41.33424895,69.36213818,06-21 09:55:43.483
All2024-06-21-10-58-52+0500.zip,aplog.15,41.33445043,69.36173975,06-21 09:55:53.461
All2024-06-21-10-58-52+0500.zip,aplog.15,41.33403337,69.36129122,06-21 09:56:03.485
All2024-06-21-10-58-52+0500.zip,aplog.15,41.33401756,69.3611745,06-21 09:56:13.484
All2024-06-21-10-58-52+0500.zip,aplog.15,41.33432419,69.36061931,06-21 09:56:23.483
All2024-06-21-10-58-52+0500.zip,aplog.15,41.33443117,69.36042278,06-21 09:56:33.483
All2024-06-21-10-58-52+0500.zip,aplog.16,41.33376731,69.36303359,06-21 09:54:13.484
All2024-06-21-10-58-52+0500.zip,aplog.16,41.33376713,69.36303826,06-21 09:54:23.481
All2024-06-21-10-58-52+0500.zip,aplog.16,41.33375791,69.36309425,06-21 09:54:33.462
All2024-06-21-10-58-52+0500.zip,aplog.16,41.33375595,69.3631389,06-21 09:54:43.476
All2024-06-21-10-58-52+0500.zip,aplog.16,41.33375537,69.36313812,06-21 09:54:53.468
All2024-06-21-10-58-52+0500.zip,aplog.16,41.33374625,69.36313568,06-21 09:55:03.461
All2024-06-21-10-58-52+0500.zip,aplog.16,41.33369363,69.36308606,06-21 09:55:13.459
All2024-06-21-10-58-52+0500.zip,aplog.16,41.33369508,69.36306173,06-21 09:55:23.477
All2024-06-21-11-59-44+0500.zip,aplog.01,41.33193087,69.36377542,06-21 11:58:34.472
All2024-06-21-11-59-44+0500.zip,aplog.01,41.33229966,69.36387721,06-21 11:58:44.466
All2024-06-21-11-59-44+0500.zip,aplog.01,41.33271479,69.36367688,06-21 11:58:54.464
All2024-06-21-11-59-44+0500.zip,aplog.01,41.3330527,69.36277717,06-21 11:59:04.456
All2024-06-21-11-59-44+0500.zip,aplog.01,41.33368131,69.36174727,06-21 11:59:14.458
All2024-06-21-11-59-44+0500.zip,aplog.01,41.33406359,69.36135085,06-21 11:59:24.455
All2024-06-21-11-59-44+0500.zip,aplog.01,41.33447324,69.36176725,06-21 11:59:34.450
All2024-06-21-11-59-44+0500.zip,aplog.01,41.33418599,69.36225983,06-21 11:59:44.454
All2024-06-21-11-59-44+0500.zip,aplog.02,41.33193345,69.36385379,06-21 11:56:54.457
All2024-06-21-11-59-44+0500.zip,aplog.02,41.33193376,69.36385364,06-21 11:57:04.451
All2024-06-21-11-59-44+0500.zip,aplog.02,41.33193333,69.36385272,06-21 11:57:14.450
All2024-06-21-11-59-44+0500.zip,aplog.02,41.33193339,69.36385263,06-21 11:57:24.465
All2024-06-21-11-59-44+0500.zip,aplog.02,41.33193358,69.36385252,06-21 11:57:34.449
All2024-06-21-11-59-44+0500.zip,aplog.02,41.33193403,69.36385218,06-21 11:57:44.446
All2024-06-21-11-59-44+0500.zip,aplog.02,41.33193415,69.36385215,06-21 11:57:54.446
All2024-06-21-11-59-44+0500.zip,aplog.02,41.33193436,69.36385214,06-21 11:58:04.450
All2024-06-21-11-59-44+0500.zip,aplog.02,41.33193417,69.36385173,06-21 11:58:14.451
All2024-06-21-11-59-44+0500.zip,aplog.02,41.33193194,69.3638533,06-21 11:58:24.461
All2024-06-21-11-59-44+0500.zip,aplog.03,41.3319316,69.36385577,06-21 11:54:44.448
All2024-06-21-11-59-44+0500.zip,aplog.03,41.3319312,69.36385523,06-21 11:54:54.451
All2024-06-21-11-59-44+0500.zip,aplog.03,41.33193063,69.36385525,06-21 11:55:04.458
All2024-06-21-11-59-44+0500.zip,aplog.03,41.33193047,69.36385511,06-21 11:55:14.450
All2024-06-21-11-59-44+0500.zip,aplog.03,41.33193032,69.36385553,06-21 11:55:24.469
All2024-06-21-11-59-44+0500.zip,aplog.03,41.33193032,69.36385556,06-21 11:55:34.453
All2024-06-21-11-59-44+0500.zip,aplog.03,41.33193078,69.36385524,06-21 11:55:44.450
All2024-06-21-11-59-44+0500.zip,aplog.03,41.33193101,69.36385514,06-21 11:55:54.450
All2024-06-21-11-59-44+0500.zip,aplog.03,41.33193144,69.36385498,06-21 11:56:04.459
All2024-06-21-11-59-44+0500.zip,aplog.03,41.33193163,69.36385431,06-21 11:56:14.443
All2024-06-21-11-59-44+0500.zip,aplog.03,41.33193215,69.3638542,06-21 11:56:24.462
All2024-06-21-11-59-44+0500.zip,aplog.03,41.33193266,69.36385396,06-21 11:56:34.445
All2024-06-21-11-59-44+0500.zip,aplog.03,41.33193307,69.36385381,06-21 11:56:44.460
All2024-06-21-11-59-44+0500.zip,aplog.04,41.33322801,69.36247158,06-21 11:53:24.446
All2024-06-21-11-59-44+0500.zip,aplog.04,41.33254974,69.36312166,06-21 11:53:34.448
All2024-06-21-11-59-44+0500.zip,aplog.04,41.33205538,69.36377552,06-21 11:53:44.450
All2024-06-21-11-59-44+0500.zip,aplog.04,41.33192448,69.36384882,06-21 11:53:54.445
All2024-06-21-11-59-44+0500.zip,aplog.04,41.33193353,69.3638563,06-21 11:54:04.458
All2024-06-21-11-59-44+0500.zip,aplog.04,41.33193366,69.36385771,06-21 11:54:14.475
All2024-06-21-11-59-44+0500.zip,aplog.04,41.33193337,69.36385833,06-21 11:54:24.451
All2024-06-21-11-59-44+0500.zip,aplog.04,41.33193299,69.36385875,06-21 11:54:34.447
All2024-06-21-11-59-44+0500.zip,aplog.05,41.33366771,69.36302227,06-21 11:52:24.495
All2024-06-21-11-59-44+0500.zip,aplog.05,41.33365954,69.36307474,06-21 11:52:34.476
All2024-06-21-11-59-44+0500.zip,aplog.05,41.33394651,69.36266248,06-21 11:52:44.460
All2024-06-21-11-59-44+0500.zip,aplog.05,41.3343868,69.36197868,06-21 11:52:54.455
All2024-06-21-11-59-44+0500.zip,aplog.05,41.33431581,69.36157659,06-21 11:53:04.469
All2024-06-21-11-59-44+0500.zip,aplog.05,41.33389962,69.36141571,06-21 11:53:14.456
All2024-06-21-11-59-44+0500.zip,aplog.07,41.32984213,69.35549652,06-21 11:43:29.469
All2024-06-21-11-59-44+0500.zip,aplog.07,41.3307397,69.3562903,06-21 11:43:39.475
All2024-06-21-11-59-44+0500.zip,aplog.07,41.33170821,69.35717977,06-21 11:43:49.465
All2024-06-21-11-59-44+0500.zip,aplog.07,41.33245397,69.3578488,06-21 11:43:59.460
All2024-06-21-11-59-44+0500.zip,aplog.07,41.33368627,69.35895259,06-21 11:44:09.449
All2024-06-21-11-59-44+0500.zip,aplog.07,41.33466579,69.35981928,06-21 11:44:19.477
All2024-06-21-11-59-44+0500.zip,aplog.07,41.3341993,69.36083139,06-21 11:44:29.451
All2024-06-21-11-59-44+0500.zip,aplog.07,41.33411437,69.36136607,06-21 11:44:39.460
All2024-06-21-11-59-44+0500.zip,aplog.07,41.33446787,69.3617344,06-21 11:44:49.470
All2024-06-21-11-59-44+0500.zip,aplog.07,41.33421278,69.36223118,06-21 11:44:59.468
All2024-06-21-11-59-44+0500.zip,aplog.07,41.33378645,69.36291639,06-21 11:45:09.452
All2024-06-21-11-59-44+0500.zip,aplog.08,41.33589051,69.3433693,06-21 11:41:49.462
All2024-06-21-11-59-44+0500.zip,aplog.08,41.33433515,69.34597147,06-21 11:41:59.450
All2024-06-21-11-59-44+0500.zip,aplog.08,41.33279573,69.34848495,06-21 11:42:09.459
All2024-06-21-11-59-44+0500.zip,aplog.08,41.33122003,69.35109597,06-21 11:42:19.454
All2024-06-21-11-59-44+0500.zip,aplog.08,41.33001253,69.35310097,06-21 11:42:29.459
All2024-06-21-11-59-44+0500.zip,aplog.08,41.32946821,69.3540171,06-21 11:42:39.459
All2024-06-21-11-59-44+0500.zip,aplog.08,41.32941817,69.35409807,06-21 11:42:49.455
All2024-06-21-11-59-44+0500.zip,aplog.08,41.32939037,69.35411518,06-21 11:42:59.466
All2024-06-21-11-59-44+0500.zip,aplog.08,41.3293574,69.35416705,06-21 11:43:09.460
All2024-06-21-11-59-44+0500.zip,aplog.08,41.32912797,69.35483061,06-21 11:43:19.455
All2024-06-21-11-59-44+0500.zip,aplog.09,41.33905002,69.33808415,06-21 11:39:49.451
All2024-06-21-11-59-44+0500.zip,aplog.09,41.33905215,69.33809135,06-21 11:39:59.455
All2024-06-21-11-59-44+0500.zip,aplog.09,41.33902688,69.33812658,06-21 11:40:09.460
All2024-06-21-11-59-44+0500.zip,aplog.09,41.33903597,69.33812052,06-21 11:40:19.452
All2024-06-21-11-59-44+0500.zip,aplog.09,41.33903601,69.33812069,06-21 11:40:29.451
All2024-06-21-11-59-44+0500.zip,aplog.09,41.33903573,69.33812118,06-21 11:40:39.455
All2024-06-21-11-59-44+0500.zip,aplog.09,41.33903532,69.33812142,06-21 11:40:49.454
All2024-06-21-11-59-44+0500.zip,aplog.09,41.33903504,69.33812169,06-21 11:40:59.448
All2024-06-21-11-59-44+0500.zip,aplog.09,41.33903454,69.33812171,06-21 11:41:09.461
All2024-06-21-11-59-44+0500.zip,aplog.09,41.33890534,69.33832955,06-21 11:41:19.454
All2024-06-21-11-59-44+0500.zip,aplog.09,41.33845842,69.33907708,06-21 11:41:29.460
All2024-06-21-11-59-44+0500.zip,aplog.09,41.33738709,69.34089668,06-21 11:41:39.461
All2024-06-21-11-59-44+0500.zip,aplog.10,41.34114816,69.3346895,06-21 11:37:59.473
All2024-06-21-11-59-44+0500.zip,aplog.10,41.34108983,69.3347441,06-21 11:38:09.471
All2024-06-21-11-59-44+0500.zip,aplog.10,41.34079172,69.33521179,06-21 11:38:19.465
All2024-06-21-11-59-44+0500.zip,aplog.10,41.34063905,69.335381,06-21 11:38:29.460
All2024-06-21-11-59-44+0500.zip,aplog.10,41.34064342,69.3353962,06-21 11:38:39.458
All2024-06-21-11-59-44+0500.zip,aplog.10,41.34064464,69.33539726,06-21 11:38:49.462
All2024-06-21-11-59-44+0500.zip,aplog.10,41.34064536,69.33539782,06-21 11:38:59.450
All2024-06-21-11-59-44+0500.zip,aplog.10,41.34064674,69.33539926,06-21 11:39:09.458
All2024-06-21-11-59-44+0500.zip,aplog.10,41.34051006,69.33565509,06-21 11:39:19.460
All2024-06-21-11-59-44+0500.zip,aplog.10,41.33993402,69.33662736,06-21 11:39:29.468
All2024-06-21-11-59-44+0500.zip,aplog.10,41.3392624,69.33771233,06-21 11:39:39.460
All2024-06-21-11-59-44+0500.zip,aplog.11,41.34412409,69.32980687,06-21 11:36:09.468
All2024-06-21-11-59-44+0500.zip,aplog.11,41.34380906,69.33033312,06-21 11:36:19.459
All2024-06-21-11-59-44+0500.zip,aplog.11,41.34325672,69.33124706,06-21 11:36:29.470
All2024-06-21-11-59-44+0500.zip,aplog.11,41.34310299,69.33148208,06-21 11:36:39.457
All2024-06-21-11-59-44+0500.zip,aplog.11,41.34306645,69.33153648,06-21 11:36:49.467
All2024-06-21-11-59-44+0500.zip,aplog.11,41.34303851,69.33162407,06-21 11:36:59.457
All2024-06-21-11-59-44+0500.zip,aplog.11,41.34304533,69.33162551,06-21 11:37:09.457
All2024-06-21-11-59-44+0500.zip,aplog.11,41.34273637,69.33212398,06-21 11:37:19.458
All2024-06-21-11-59-44+0500.zip,aplog.11,41.34224696,69.3328998,06-21 11:37:29.463
All2024-06-21-11-59-44+0500.zip,aplog.11,41.34189384,69.33347322,06-21 11:37:39.464
All2024-06-21-11-59-44+0500.zip,aplog.11,41.34161325,69.33392135,06-21 11:37:49.467
All2024-06-21-11-59-44+0500.zip,aplog.12,41.34864154,69.32209117,06-21 11:34:39.479
All2024-06-21-11-59-44+0500.zip,aplog.12,41.34779658,69.32343688,06-21 11:34:49.466
All2024-06-21-11-59-44+0500.zip,aplog.12,41.34697496,69.32477806,06-21 11:34:59.453
All2024-06-21-11-59-44+0500.zip,aplog.12,41.34620152,69.32606816,06-21 11:35:09.447
All2024-06-21-11-59-44+0500.zip,aplog.12,41.34570442,69.32693092,06-21 11:35:19.465
All2024-06-21-11-59-44+0500.zip,aplog.12,41.34545632,69.32740501,06-21 11:35:29.460
All2024-06-21-11-59-44+0500.zip,aplog.12,41.34510252,69.32811768,06-21 11:35:39.455
All2024-06-21-11-59-44+0500.zip,aplog.12,41.34472667,69.32882527,06-21 11:35:49.467
All2024-06-21-11-59-44+0500.zip,aplog.12,41.34436158,69.32944524,06-21 11:35:59.458
All2024-06-21-11-59-44+0500.zip,aplog.13,41.35636857,69.30926234,06-21 11:32:59.457
All2024-06-21-11-59-44+0500.zip,aplog.13,41.35633747,69.30925175,06-21 11:33:09.474
All2024-06-21-11-59-44+0500.zip,aplog.13,41.35597823,69.30988379,06-21 11:33:19.457
All2024-06-21-11-59-44+0500.zip,aplog.13,41.35515267,69.31121707,06-21 11:33:29.476
All2024-06-21-11-59-44+0500.zip,aplog.13,41.35435246,69.31249164,06-21 11:33:39.480
All2024-06-21-11-59-44+0500.zip,aplog.13,41.35344773,69.31400781,06-21 11:33:49.468
All2024-06-21-11-59-44+0500.zip,aplog.13,41.35223837,69.31600603,06-21 11:33:59.463
All2024-06-21-11-59-44+0500.zip,aplog.13,41.35110949,69.3178238,06-21 11:34:09.456
All2024-06-21-11-59-44+0500.zip,aplog.13,41.35024429,69.31930426,06-21 11:34:19.451
All2024-06-21-11-59-44+0500.zip,aplog.13,41.34956682,69.32054069,06-21 11:34:29.468
All2024-06-21-11-59-44+0500.zip,aplog.14,41.36284115,69.2985123,06-21 11:31:09.457
All2024-06-21-11-59-44+0500.zip,aplog.14,41.36197033,69.2999637,06-21 11:31:19.463
All2024-06-21-11-59-44+0500.zip,aplog.14,41.36114455,69.30134263,06-21 11:31:29.472
All2024-06-21-11-59-44+0500.zip,aplog.14,41.3603891,69.30252475,06-21 11:31:39.466
All2024-06-21-11-59-44+0500.zip,aplog.14,41.36014643,69.3028992,06-21 11:31:49.459
All2024-06-21-11-59-44+0500.zip,aplog.14,41.36012527,69.30291029,06-21 11:31:59.464
All2024-06-21-11-59-44+0500.zip,aplog.14,41.359729,69.30356914,06-21 11:32:09.448
All2024-06-21-11-59-44+0500.zip,aplog.14,41.35932773,69.30427766,06-21 11:32:19.457
All2024-06-21-11-59-44+0500.zip,aplog.14,41.35860261,69.30560834,06-21 11:32:29.458
All2024-06-21-11-59-44+0500.zip,aplog.14,41.3577429,69.30704881,06-21 11:32:39.468
All2024-06-21-11-59-44+0500.zip,aplog.14,41.35688596,69.30843999,06-21 11:32:49.454
All2024-06-21-11-59-44+0500.zip,aplog.15,41.3661751,69.29201259,06-21 11:29:39.465
All2024-06-21-11-59-44+0500.zip,aplog.15,41.36630058,69.29272341,06-21 11:29:49.471
All2024-06-21-11-59-44+0500.zip,aplog.15,41.36593212,69.29341244,06-21 11:29:59.463
All2024-06-21-11-59-44+0500.zip,aplog.15,41.36549064,69.29397441,06-21 11:30:09.457
All2024-06-21-11-59-44+0500.zip,aplog.15,41.3653899,69.29413182,06-21 11:30:19.453
All2024-06-21-11-59-44+0500.zip,aplog.15,41.36530329,69.29428028,06-21 11:30:29.493
All2024-06-21-11-59-44+0500.zip,aplog.15,41.36470432,69.29531212,06-21 11:30:39.455
All2024-06-21-11-59-44+0500.zip,aplog.15,41.3639236,69.29659387,06-21 11:30:49.463
All2024-06-21-11-59-44+0500.zip,aplog.15,41.36344874,69.29733668,06-21 11:30:59.462
All2024-06-21-11-59-44+0500.zip,aplog.16,41.3613525,69.28160374,06-21 11:27:49.466
